"Uniprot","Genes","Pathways"
"E9PCT1","SRRM1","Cluster 5"
"E9PDK2","UNKL","Cluster 3"
"E9PDY6","MUC4","Cluster 3"
"E9PE19","BPTF","Cluster 5"
"E9PEJ6","ATP11A","Cluster 3"
"E9PF32","DENND3","Cluster 3"
"E9PGC0","RASA1","Cluster 2"
"E9PGF5","TNS1","Cluster 3"
"E9PIR9","CRYBG2","Cluster 3"
"E9PJ04","SF3B2","Cluster 5"
"E9PJD7","CYHR1","Cluster 4"
"E9PJN9","RPS3","Cluster 2"
"E9PLM6","MDK","Cluster 3"
"E9PN89","HSPA8","Cluster 3"
"E9PNQ8","THY1","Cluster 3"
"E9PR30","FAU","Cluster 2"
"E9PRY8","EEF1D","Cluster 1"
"F2Z2X0","NME4","Cluster 3"
"F5GWX5","CHD4","Cluster 4"
"F5GX28","KDM4B","Cluster 3"
"F5GXE4","ATE1","Cluster 2"
"F5GZS6","SLC3A2","Cluster 5"
"F5H0F9","ANAPC5","Cluster 2"
"F5H269","DMXL1","Cluster 3"
"F5H2B5","PLD4","Cluster 3"
"F8VQZ7","METAP2","Cluster 1"
"F8VRH0","PCBP2","Cluster 1"
"F8VSC4","METAP2","Cluster 1"
"F8VWL3","FGD4","Cluster 3"
"F8VWT9","HECTD4","Cluster 2"
"F8VZX2","PCBP2","Cluster 1"
"F8W038","C17orf49","Cluster 5"
"F8W0P7","ATP5F1B","Cluster 5"
"F8W7C6","RPL10","Cluster 4"
"F8W9L8","PHF20L1","Cluster 5"
"F8WB05","ATXN2","Cluster 1"
"G3V145","SDR16C5","Cluster 3"
"G3V1L9","TJP1","Cluster 3"
"G3V1V0","MYL6","Cluster 1"
"G3V2N0","GNG2","Cluster 3"
"G3V4T6","GSTZ1","Cluster 3"
"G3XAE9","TOGARAM1","Cluster 3"
"G3XAN8","TIMM8B","Cluster 5"
"G5EA09","SDCBP","Cluster 3"
"G5EA30","CELF1","Cluster 5"
"G8JLB6","HNRNPH1","Cluster 5"
"H0Y2S9","MPRIP","Cluster 4"
"H0Y2W2","ATAD3A","Cluster 4"
"H0Y327","MTHFD1L","Cluster 4"
"H0Y3R8","TJP1","Cluster 3"
"H0Y459","NCOR1","Cluster 5"
"H0Y4E8","SIK3","Cluster 1"
"H0Y4R1","IMPDH2","Cluster 1"
"H0Y4V9","LARP4B","Cluster 3"
"H0Y572","DOCK9","Cluster 3"
"H0Y612","TRIM33","Cluster 5"
"H0Y7B8","GOLGA2","Cluster 4"
"H0Y9G6","MRPL3","Cluster 4"
"H0YBE0","MTDH","Cluster 4"
"H0YDD9","ANO1","Cluster 3"
"H0YDF6","NHSL1","Cluster 3"
"H0YDG6","LMO7","Cluster 3"
"H0YEB8","RNPC3","Cluster 5"
"H0YEH1","PICALM","Cluster 3"
"H0YEM9","ZBTB44","Cluster 5"
"H0YFY6","NUMA1","Cluster 5"
"H0YH80","HNRNPA1","Cluster 5"
"H0YHI8","PPP1R12A","Cluster 5"
"H0YJT2","STRN3","Cluster 3"
"H0YJZ4","STRN3","Cluster 3"
"H0YK48","TPM1","Cluster 3"
"H0YKT2","POU2F2","Cluster 3"
"H0YLW6","SHF","Cluster 3"
"H3BNW5","SPINT1","Cluster 3"
"H3BQK9","MACF1","Cluster 3"
"H3BQQ2","ZNF598","Cluster 3"
