"Uniprot","Genes","Pathways"
"P23142","FBLN1","Cluster 3"
"P23193","TCEA1","Cluster 1"
"P23219","PTGS1","Cluster 3"
"P23246","SFPQ","Cluster 5"
"P23258","TUBG1","Cluster 2"
"P23284","PPIB","Cluster 5"
"P23297","S100A1","Cluster 3"
"P23368","ME2","Cluster 3"
"P23378","GLDC","Cluster 3"
"P23381","WARS","Cluster 2"
"P23396","RPS3","Cluster 2"
"P23434","GCSH","Cluster 5"
"P23443","RPS6KB1","Cluster 2"
"P23458","JAK1","Cluster 4"
"P23469","PTPRE","Cluster 3"
"P23470","PTPRG","Cluster 3"
"P23471","PTPRZ1","Cluster 3"
"P23497","SP100","Cluster 3"
"P23511","NFYA","Cluster 5"
"P23526","AHCY","Cluster 2"
"P23528","CFL1","Cluster 1"
"P23588","EIF4B","Cluster 1"
"P23634","ATP2B4","Cluster 4"
"P23677","ITPKA","Cluster 3"
"P23743","DGKA","Cluster 2"
"P23769","GATA2","Cluster 3"
"P23786","CPT2","Cluster 4"
"P23919","DTYMK","Cluster 1"
"P23921","RRM1","Cluster 2"
"P24043","LAMA2","Cluster 3"
"P24311","COX7B","Cluster 4"
"P24385","CCND1","Cluster 3"
"P24386","CHM","Cluster 2"
"P24390","KDELR1","Cluster 4"
"P24468","NR2F2","Cluster 3"
"P24534","EEF1B2","Cluster 1"
"P24539","ATP5PB","Cluster 4"
"P24557","TBXAS1","Cluster 3"
"P24588","AKAP5","Cluster 3"
"P24592","IGFBP6","Cluster 3"
"P24593","IGFBP5","Cluster 3"
"P24666","ACP1","Cluster 1"
"P24723","PRKCH","Cluster 3"
"P24752","ACAT1","Cluster 5"
"P24821","TNC","Cluster 3"
"P24844","MYL9","Cluster 3"
"P24863","CCNC","Cluster 4"
"P24864","CCNE1","Cluster 4"
"P24928","POLR2A","Cluster 4"
"P24941","CDK2","Cluster 2"
"P25054","APC","Cluster 5"
"P25098","GRK2","Cluster 2"
"P25116","F2R","Cluster 3"
"P25205","MCM3","Cluster 4"
"P25208","NFYB","Cluster 5"
"P25311","AZGP1","Cluster 3"
"P25391","LAMA1","Cluster 3"
"P25398","RPS12","Cluster 1"
"P25445","FAS","Cluster 3"
"P25490","YY1","Cluster 5"
"P25685","DNAJB1","Cluster 1"
"P25686","DNAJB2","Cluster 5"
"P25705","ATP5F1A","Cluster 4"
"P25774","CTSS","Cluster 3"
"P25787","PSMA2","Cluster 3"
"P25788","PSMA3","Cluster 2"
"P25789","PSMA4","Cluster 2"
"P25815","S100P","Cluster 3"
"P25942","CD40","Cluster 3"
"P25963","NFKBIA","Cluster 1"
"P26006","ITGA3","Cluster 3"
"P26012","ITGB8","Cluster 3"
"P26022","PTX3","Cluster 3"
"P26038","MSN","Cluster 3"
"P26045","PTPN3","Cluster 3"
"P26196","DDX6","Cluster 2"
"P26368","U2AF2","Cluster 5"
"P26373","RPL13","Cluster 2"
"P26374","CHML","Cluster 2"
"P26440","IVD","Cluster 4"
"P26447","S100A4","Cluster 3"
"P26572","MGAT1","Cluster 4"
"P26583","HMGB2","Cluster 1"
"P26599","PTBP1","Cluster 4"
"P26640","VARS","Cluster 2"
"P26641","EEF1G","Cluster 2"
"P26651","ZFP36","Cluster 1"
"P26885","FKBP2","Cluster 5"
"P27105","STOM","Cluster 3"
"P27144","AK4","Cluster 3"
"P27338","MAOB","Cluster 3"
"P27348","YWHAQ","Cluster 2"
"P27361","MAPK3","Cluster 2"
"P27448","MARK3","Cluster 2"
"P27449","ATP6V0C","Cluster 4"
"P27482","CALML3","Cluster 3"
"P27487","DPP4","Cluster 3"
"P27540","ARNT","Cluster 3"
"P27544","CERS1","Cluster 3"
"P27635","RPL10","Cluster 2"
"P27658","COL8A1","Cluster 3"
"P27694","RPA1","Cluster 2"
"P27695","APEX1","Cluster 2"
"P27701","CD82","Cluster 3"
"P27707","DCK","Cluster 2"
"P27708","CAD","Cluster 2"
"P27797","CALR","Cluster 5"
"P27815","PDE4A","Cluster 3"
"P27824","CANX","Cluster 4"
"P27986","PIK3R1","Cluster 3"
"P27987","ITPKB","Cluster 3"
"P28062","PSMB8","Cluster 3"
"P28065","PSMB9","Cluster 3"
"P28066","PSMA5","Cluster 1"
"P28070","PSMB4","Cluster 2"
"P28072","PSMB6","Cluster 1"
"P28074","PSMB5","Cluster 2"
"P28161","GSTM2","Cluster 3"
"P28288","ABCD3","Cluster 4"
"P28289","TMOD1","Cluster 3"
"P28290","ITPRID2","Cluster 4"
"P28300","LOX","Cluster 3"
"P28324","ELK4","Cluster 3"
"P28328","PEX2","Cluster 4"
"P28340","POLD1","Cluster 2"
"P28347","TEAD1","Cluster 3"
"P28356","HOXD9","Cluster 3"
"P28370","SMARCA1","Cluster 3"
"P28482","MAPK1","Cluster 2"
"P28676","GCA","Cluster 3"
"P28715","ERCC5","Cluster 4"
"P28749","RBL1","Cluster 3"
"P28799","GRN","Cluster 5"
"P28838","LAP3","Cluster 1"
"P28907","CD38","Cluster 3"
"P29034","S100A2","Cluster 1"
"P29083","GTF2E1","Cluster 3"
"P29084","GTF2E2","Cluster 1"
"P29120","PCSK1","Cluster 3"
"P29122","PCSK6","Cluster 3"
"P29144","TPP2","Cluster 2"
"P29317","EPHA2","Cluster 3"
"P29320","EPHA3","Cluster 3"
"P29372","MPG","Cluster 3"
"P29373","CRABP2","Cluster 3"
"P29374","ARID4A","Cluster 5"
"P29375","KDM5A","Cluster 4"
"P29466","CASP1","Cluster 3"
"P29474","NOS3","Cluster 3"
"P29536","LMOD1","Cluster 3"
"P29558","RBMS1","Cluster 3"
"P29590","PML","Cluster 4"
"P29597","TYK2","Cluster 4"
"P29728","OAS2","Cluster 3"
"P29762","CRABP1","Cluster 3"
"P29966","MARCKS","Cluster 3"
"P29992","GNA11","Cluster 4"
"P30038","ALDH4A1","Cluster 3"
"P30039","PBLD","Cluster 3"
"P30040","ERP29","Cluster 5"
"P30041","PRDX6","Cluster 1"
"P30043","BLVRB","Cluster 1"
"P30044","PRDX5","Cluster 5"
"P30046","DDT","Cluster 1"
"P30047","GCHFR","Cluster 3"
"P30048","PRDX3","Cluster 5"
"P30049","ATP5F1D","Cluster 5"
"P30050","RPL12","Cluster 1"
"P30084","ECHS1","Cluster 5"
"P30085","CMPK1","Cluster 1"
"P30086","PEBP1","Cluster 1"
"P30101","PDIA3","Cluster 5"
"P30154","PPP2R1B","Cluster 2"
"P30281","CCND3","Cluster 3"
"P30291","WEE1","Cluster 2"
"P30305","CDC25B","Cluster 1"
"P30307","CDC25C","Cluster 1"
"P30405","PPIF","Cluster 5"
"P30414","NKTR","Cluster 5"
"P30419","NMT1","Cluster 2"
"P30519","HMOX2","Cluster 5"
"P30530","AXL","Cluster 3"
"P30533","LRPAP1","Cluster 5"
"P30536","TSPO","Cluster 3"
"P30566","ADSL","Cluster 2"
"P30613","PKLR","Cluster 3"
"P30626","SRI","Cluster 1"
"P30679","GNA15","Cluster 3"
"P30740","SERPINB1","Cluster 3"
"P30825","SLC7A1","Cluster 4"
"P30837","ALDH1B1","Cluster 5"
"P30838","ALDH3A1","Cluster 3"
"P30876","POLR2B","Cluster 4"
"P31040","SDHA","Cluster 5"
"P31146","CORO1A","Cluster 3"
"P31150","GDI1","Cluster 2"
"P31153","MAT2A","Cluster 2"
"P31271","HOXA13","Cluster 3"
"P31321","PRKAR1B","Cluster 3"
"P31323","PRKAR2B","Cluster 3"
"P31431","SDC4","Cluster 3"
"P31483","TIA1","Cluster 5"
"P31629","HIVEP2","Cluster 3"
"P31641","SLC6A6","Cluster 4"
"P31689","DNAJA1","Cluster 1"
"P31749","AKT1","Cluster 2"
"P31751","AKT2","Cluster 2"
"P31930","UQCRC1","Cluster 5"
"P31937","HIBADH","Cluster 5"
"P31939","ATIC","Cluster 1"
"P31941","APOBEC3A","Cluster 3"
"P31941","APOBEC3A","Cluster 3"
"P31942","HNRNPH3","Cluster 5"
"P31946","YWHAB","Cluster 1"
"P31947","SFN","Cluster 1"
"P31948","STIP1","Cluster 1"
"P31949","S100A11","Cluster 3"
"P32004","L1CAM","Cluster 3"
"P32019","INPP5B","Cluster 2"
"P32119","PRDX2","Cluster 3"
"P32189","GK","Cluster 3"
"P32242","OTX1","Cluster 2"
"P32320","CDA","Cluster 3"
"P32322","PYCR1","Cluster 3"
"P32418","SLC8A1","Cluster 3"
"P32455","GBP1","Cluster 3"
"P32456","GBP2","Cluster 3"
"P32519","ELF1","Cluster 5"
"P32780","GTF2H1","Cluster 4"
"P32856","STX2","Cluster 3"
"P32926","DSG3","Cluster 3"
"P32929","CTH","Cluster 3"
"P32942","ICAM3","Cluster 3"
"P32969","RPL9","Cluster 2"
"P32969","RPL9P7","Cluster 2"
"P32969","RPL9P8","Cluster 2"
"P32969","RPL9P9","Cluster 2"
"P32970","CD70","Cluster 3"
"P33121","ACSL1","Cluster 4"
"P33151","CDH5","Cluster 3"
"P33176","KIF5B","Cluster 2"
"P33240","CSTF2","Cluster 5"
"P33241","LSP1","Cluster 3"
"P33316","DUT","Cluster 1"
"P33527","ABCC1","Cluster 4"
"P33552","CKS2","Cluster 1"
"P33764","S100A3","Cluster 5"
"P33897","ABCD1","Cluster 4"
"P33908","MAN1A1","Cluster 3"
"P33981","TTK","Cluster 1"
"P33991","MCM4","Cluster 3"
"P33992","MCM5","Cluster 2"
"P33993","MCM7","Cluster 2"
"P34059","GALNS","Cluster 5"
"P34741","SDC2","Cluster 3"
"P34896","SHMT1","Cluster 2"
"P34897","SHMT2","Cluster 5"
"P34913","EPHX2","Cluster 3"
"P34931","HSPA1L","Cluster 3"
"P34932","HSPA4","Cluster 2"
"P34947","GRK5","Cluster 3"
"P34949","MPI","Cluster 1"
"P35052","GPC1","Cluster 3"
"P35080","PFN2","Cluster 3"
"P35219","CA8","Cluster 3"
"P35221","CTNNA1","Cluster 4"
"P35227","PCGF2","Cluster 3"
"P35232","PHB","Cluster 5"
"P35237","SERPINB6","Cluster 3"
"P35240","NF2","Cluster 3"
"P35241","RDX","Cluster 3"
"P35244","RPA3","Cluster 1"
"P35249","RFC4","Cluster 3"
"P35250","RFC2","Cluster 3"
"P35251","RFC1","Cluster 4"
"P35268","RPL22","Cluster 2"
"P35269","GTF2F1","Cluster 1"
"P35270","SPR","Cluster 3"
"P35354","PTGS2","Cluster 3"
"P35367","HRH1","Cluster 3"
"P35442","THBS2","Cluster 3"
"P35475","IDUA","Cluster 3"
"P35555","FBN1","Cluster 3"
"P35556","FBN2","Cluster 3"
"P35568","IRS1","Cluster 3"
"P35573","AGL","Cluster 3"
"P35579","MYH9","Cluster 2"
"P35580","MYH10","Cluster 3"
"P35606","COPB2","Cluster 2"
"P35610","SOAT1","Cluster 3"
"P35612","ADD2","Cluster 3"
"P35613","BSG","Cluster 4"
"P35625","TIMP3","Cluster 3"
"P35637","FUS","Cluster 5"
"P35659","DEK","Cluster 4"
"P35670","ATP7B","Cluster 3"
"P35712","SOX6","Cluster 3"
"P35754","GLRX","Cluster 3"
"P35790","CHKA","Cluster 2"
"P35813","PPM1A","Cluster 1"
"P35869","AHR","Cluster 3"
"P35914","HMGCL","Cluster 4"
"P35916","FLT4","Cluster 3"
"P35998","PSMC2","Cluster 2"
"P36021","SLC16A2","Cluster 3"
"P36222","CHI3L1","Cluster 3"
"P36269","GGT5","Cluster 3"
"P36404","ARL2","Cluster 2"
"P36405","ARL3","Cluster 1"
"P36406","TRIM23","Cluster 3"
"P36507","MAP2K2","Cluster 1"
"P36508","ZNF76","Cluster 5"
"P36542","ATP5F1C","Cluster 4"
"P36543","ATP6V1E1","Cluster 3"
"P36551","CPOX","Cluster 5"
"P36578","RPL4","Cluster 2"
"P36639","NUDT1","Cluster 1"
"P36776","LONP1","Cluster 4"
"P36871","PGM1","Cluster 2"
"P36888","FLT3","Cluster 3"
"P36894","BMPR1A","Cluster 3"
"P36897","TGFBR1","Cluster 3"
"P36915","GNL1","Cluster 2"
"P36941","LTBR","Cluster 1"
"P36952","SERPINB5","Cluster 3"
"P36954","POLR2I","Cluster 5"
"P36955","SERPINF1","Cluster 3"
"P36957","DLST","Cluster 5"
"P36959","GMPR","Cluster 3"
"P36969","GPX4","Cluster 1"
"P37059","HSD17B2","Cluster 3"
"P37108","SRP14","Cluster 3"
"P37198","NUP62","Cluster 5"
"P37235","HPCAL1","Cluster 3"
"P37268","FDFT1","Cluster 4"
"P37287","PIGA","Cluster 4"
"P37802","TAGLN2","Cluster 1"
"P37837","TALDO1","Cluster 2"
"P37840","SNCA","Cluster 3"
"P38117","ETFB","Cluster 5"
"P38398","BRCA1","Cluster 5"
"P38432","COIL","Cluster 5"
"P38435","GGCX","Cluster 4"
"P38571","LIPA","Cluster 4"
"P38606","ATP6V1A","Cluster 2"
"P38646","HSPA9","Cluster 5"
"P38919","EIF4A3","Cluster 4"
"P38935","IGHMBP2","Cluster 2"
"P38936","CDKN1A","Cluster 3"
"P39019","RPS19","Cluster 2"
"P39023","RPL3","Cluster 2"
"P39060","COL18A1","Cluster 3"
"P39210","MPV17","Cluster 4"
"P39656","DDOST","Cluster 4"
"P39687","ANP32A","Cluster 1"
"P39748","FEN1","Cluster 2"
"P40121","CAPG","Cluster 3"
"P40123","CAP2","Cluster 3"
"P40189","IL6ST","Cluster 3"
"P40199","CEACAM6","Cluster 3"
"P40222","TXLNA","Cluster 1"
"P40227","CCT6A","Cluster 2"
"P40261","NNMT","Cluster 3"
"P40306","PSMB10","Cluster 3"
"P40337","VHL","Cluster 1"
"P40424","PBX1","Cluster 3"
"P40425","PBX2","Cluster 3"
"P40426","PBX3","Cluster 3"
"P40429","RPL13A","Cluster 2"
"P40616","ARL1","Cluster 4"
"P40692","MLH1","Cluster 3"
"P40818","USP8","Cluster 2"
"P40926","MDH2","Cluster 5"
"P40937","RFC5","Cluster 4"
"P40938","RFC3","Cluster 4"
"P40939","HADHA","Cluster 4"
"P41091","EIF2S3","Cluster 2"
"P41134","ID1","Cluster 1"
"P41161","ETV5","Cluster 3"
"P41162","ETV3","Cluster 3"
"P41182","BCL6","Cluster 4"
"P41208","CETN2","Cluster 5"
"P41212","ETV6","Cluster 5"
"P41214","EIF2D","Cluster 1"
"P41219","PRPH","Cluster 3"
"P41221","WNT5A","Cluster 3"
"P41223","BUD31","Cluster 3"
"P41226","UBA7","Cluster 3"
"P41227","NAA10","Cluster 1"
"P41229","KDM5C","Cluster 3"
"P41236","PPP1R2","Cluster 1"
"P41240","CSK","Cluster 2"
"P41247","PNPLA4","Cluster 3"
"P41252","IARS","Cluster 2"
"P41273","TNFSF9","Cluster 3"
"P41440","SLC19A1","Cluster 4"
"P41567","EIF1","Cluster 1"
"P41743","PRKCI","Cluster 2"
"P42025","ACTR1B","Cluster 2"
"P42126","ECI1","Cluster 5"
"P42166","TMPO","Cluster 5"
"P42167","TMPO","Cluster 5"
"P42224","STAT1","Cluster 2"
"P42226","STAT6","Cluster 3"
"P42229","STAT5A","Cluster 3"
"P42285","MTREX","Cluster 4"
"P42330","AKR1C3","Cluster 3"
"P42336","PIK3CA","Cluster 2"
"P42338","PIK3CB","Cluster 2"
"P42345","MTOR","Cluster 2"
"P42566","EPS15","Cluster 1"
"P42568","MLLT3","Cluster 3"
"P42574","CASP3","Cluster 1"
"P42575","CASP2","Cluster 1"
"P42684","ABL2","Cluster 3"
"P42685","FRK","Cluster 3"
"P42694","HELZ","Cluster 3"
"P42695","NCAPD3","Cluster 4"
"P42696","RBM34","Cluster 4"
"P42702","LIFR","Cluster 3"
"P42704","LRPPRC","Cluster 4"
"P42765","ACAA2","Cluster 3"
"P42766","RPL35","Cluster 2"
"P42768","WAS","Cluster 3"
"P42771","CDKN2A","Cluster 3"
"P42773","CDKN2C","Cluster 3"
"P42785","PRCP","Cluster 4"
"P42830","CXCL5","Cluster 3"
"P42858","HTT","Cluster 2"
"P42892","ECE1","Cluster 3"
"P43003","SLC1A3","Cluster 3"
"P43005","SLC1A1","Cluster 3"
"P43007","SLC1A4","Cluster 4"
"P43034","PAFAH1B1","Cluster 2"
"P43121","MCAM","Cluster 3"
"P43155","CRAT","Cluster 3"
"P43234","CTSO","Cluster 3"
"P43235","CTSK","Cluster 3"
"P43243","MATR3","Cluster 5"
"P43246","MSH2","Cluster 2"
"P43251","BTD","Cluster 4"
"P43304","GPD2","Cluster 3"
"P43307","SSR1","Cluster 4"
"P43351","RAD52","Cluster 5"
"P43353","ALDH3B1","Cluster 3"
"P43355","MAGEA1","Cluster 5"
"P43358","MAGEA4","Cluster 3"
"P43360","MAGEA6","Cluster 3"
"P43361","MAGEA8","Cluster 3"
"P43363","MAGEA10","Cluster 3"
"P43378","PTPN9","Cluster 2"
"P43405","SYK","Cluster 3"
"P43487","RANBP1","Cluster 1"
"P43490","NAMPT","Cluster 2"
"P43686","PSMC4","Cluster 1"
"P43897","TSFM","Cluster 5"
"P45877","PPIC","Cluster 3"
"P45880","VDAC2","Cluster 5"
"P45954","ACADSB","Cluster 5"
"P45973","CBX5","Cluster 5"
"P45984","MAPK9","Cluster 2"
"P46013","MKI67","Cluster 5"
"P46019","PHKA2","Cluster 4"
"P46059","SLC15A1","Cluster 3"
"P46060","RANGAP1","Cluster 4"
"P46063","RECQL","Cluster 2"
"P46100","ATRX","Cluster 5"
"P46108","CRK","Cluster 1"
"P46109","CRKL","Cluster 1"
"P46199","MTIF2","Cluster 4"
"P46459","NSF","Cluster 4"
"P46527","CDKN1B","Cluster 1"
"P46531","NOTCH1","Cluster 3"
"P46776","RPL27A","Cluster 2"
"P46777","RPL5","Cluster 2"
"P46778","RPL21","Cluster 2"
"P46779","RPL28","Cluster 2"
"P46781","RPS9","Cluster 2"
"P46782","RPS5","Cluster 2"
"P46783","RPS10","Cluster 2"
"P46821","MAP1B","Cluster 3"
"P46926","GNPDA1","Cluster 2"
"P46934","NEDD4","Cluster 3"
"P46939","UTRN","Cluster 3"
"P46940","IQGAP1","Cluster 2"
"P46952","HAAO","Cluster 3"
"P46976","GYG1","Cluster 1"
"P46977","STT3A","Cluster 4"
"P47224","RABIF","Cluster 1"
"P47712","PLA2G4A","Cluster 3"
"P47755","CAPZA2","Cluster 3"
"P47756","CAPZB","Cluster 3"
"P47813","EIF1AX","Cluster 1"
"P47895","ALDH1A3","Cluster 3"
"P47897","QARS","Cluster 2"
"P47914","RPL29","Cluster 2"
"P47974","ZFP36L2","Cluster 1"
"P47985","UQCRFS1","Cluster 5"
"P48029","SLC6A8","Cluster 3"
"P48047","ATP5PO","Cluster 4"
"P48060","GLIPR1","Cluster 5"
"P48147","PREP","Cluster 2"
"P48163","ME1","Cluster 3"
"P48200","IREB2","Cluster 2"
"P48307","TFPI2","Cluster 3"
"P48378","RFX2","Cluster 3"
"P48382","RFX5","Cluster 5"
"P48431","SOX2","Cluster 3"
"P48436","SOX9","Cluster 3"
"P48443","RXRG","Cluster 3"
"P48444","ARCN1","Cluster 2"
"P48449","LSS","Cluster 4"
"P48506","GCLC","Cluster 2"
"P48507","GCLM","Cluster 2"
"P48509","CD151","Cluster 4"
"P48551","IFNAR2","Cluster 3"
"P48552","NRIP1","Cluster 3"
"P48553","TRAPPC10","Cluster 4"
"P48556","PSMD8","Cluster 2"
"P48634","PRRC2A","Cluster 1"
"P48637","GSS","Cluster 2"
"P48643","CCT5","Cluster 2"
"P48651","PTDSS1","Cluster 4"
"P48664","SLC1A6","Cluster 3"
"P48681","NES","Cluster 3"
"P48723","HSPA13","Cluster 3"
"P48730","CSNK1D","Cluster 4"
"P48735","IDH2","Cluster 5"
"P48736","PIK3CG","Cluster 3"
"P48739","PITPNB","Cluster 2"
"P48995","TRPC1","Cluster 3"
"P49005","POLD2","Cluster 1"
"P49006","MARCKSL1","Cluster 3"
"P49023","PXN","Cluster 1"
"P49069","CAMLG","Cluster 4"
"P49137","MAPKAPK2","Cluster 2"
"P49184","DNASE1L1","Cluster 4"
"P49189","ALDH9A1","Cluster 3"
"P49207","RPL34","Cluster 2"
"P49247","RPIA","Cluster 1"
"P49257","LMAN1","Cluster 4"
"P49321","NASP","Cluster 3"
"P49327","FASN","Cluster 2"
"P49336","CDK8","Cluster 4"
"P49354","FNTA","Cluster 2"
"P49356","FNTB","Cluster 2"
"P49356","FNTB","Cluster 2"
"P49366","DHPS","Cluster 1"
"P49368","CCT3","Cluster 2"
"P49406","MRPL19","Cluster 4"
"P49407","ARRB1","Cluster 3"
"P49411","TUFM","Cluster 5"
"P49418","AMPH","Cluster 3"
"P49419","ALDH7A1","Cluster 3"
"P49427","CDC34","Cluster 1"
"P49441","INPP1","Cluster 3"
"P49447","CYB561","Cluster 3"
"P49448","GLUD2","Cluster 3"
"P49454","CENPF","Cluster 5"
"P49458","SRP9","Cluster 5"
"P49459","UBE2A","Cluster 1"
"P49585","PCYT1A","Cluster 1"
"P49588","AARS","Cluster 2"
"P49590","HARS2","Cluster 4"
"P49593","PPM1F","Cluster 2"
"P49641","MAN2A2","Cluster 4"
"P49642","PRIM1","Cluster 2"
"P49643","PRIM2","Cluster 2"
"P49662","CASP4","Cluster 3"
"P49674","CSNK1E","Cluster 4"
"P49674","CSNK1E","Cluster 4"
"P49711","CTCF","Cluster 5"
"P49715","CEBPA","Cluster 3"
"P49716","CEBPD","Cluster 3"
"P49720","PSMB3","Cluster 2"
"P49721","PSMB2","Cluster 2"
"P49736","MCM2","Cluster 2"
"P49746","THBS3","Cluster 3"
"P49753","ACOT2","Cluster 3"
"P49754","VPS41","Cluster 4"
"P49755","TMED10","Cluster 4"
"P49756","RBM25","Cluster 5"
"P49757","NUMB","Cluster 5"
"P49760","CLK2","Cluster 4"
"P49761","CLK3","Cluster 4"
"P49768","PSEN1","Cluster 4"
"P49770","EIF2B2","Cluster 2"
"P49773","HINT1","Cluster 1"
"P49788","RARRES1","Cluster 3"
"P49789","FHIT","Cluster 3"
"P49790","NUP153","Cluster 5"
"P49792","RANBP2","Cluster 4"
"P49795","RGS19","Cluster 3"
"P49796","RGS3","Cluster 3"
"P49810","PSEN2","Cluster 3"
"P49815","TSC2","Cluster 2"
"P49821","NDUFV1","Cluster 4"
"P49840","GSK3A","Cluster 2"
"P49903","SEPHS1","Cluster 1"
"P49914","MTHFS","Cluster 3"
"P49915","GMPS","Cluster 1"
"P49916","LIG3","Cluster 4"
"P49917","LIG4","Cluster 4"
"P49959","MRE11","Cluster 5"
"P50053","KHK","Cluster 3"
"P50135","HNMT","Cluster 3"
"P50148","GNAQ","Cluster 3"
"P50150","GNG4","Cluster 3"
"P50151","GNG10","Cluster 5"
"P50213","IDH3A","Cluster 5"
"P50219","MNX1","Cluster 3"
"P50225","SULT1A1","Cluster 3"
"P50238","CRIP1","Cluster 3"
"P50281","MMP14","Cluster 3"
"P50336","PPOX","Cluster 4"
"P50395","GDI2","Cluster 2"
"P50402","EMD","Cluster 4"
"P50416","CPT1A","Cluster 3"
"P50443","SLC26A2","Cluster 4"
"P50452","SERPINB8","Cluster 3"
"P50453","SERPINB9","Cluster 3"
"P50454","SERPINH1","Cluster 4"
"P50461","CSRP3","Cluster 3"
"P50479","PDLIM4","Cluster 3"
"P50502","ST13","Cluster 1"
"P50548","ERF","Cluster 1"
"P50552","VASP","Cluster 1"
"P50570","DNM2","Cluster 2"
"P50583","NUDT2","Cluster 1"
"P50613","CDK7","Cluster 4"
"P50616","TOB1","Cluster 1"
"P50747","HLCS","Cluster 2"
"P50748","KNTC1","Cluster 2"
"P50749","RASSF2","Cluster 3"
"P50851","LRBA","Cluster 2"
"P50895","BCAM","Cluster 3"
"P50897","PPT1","Cluster 5"
"P50914","RPL14","Cluster 2"
"P50990","CCT8","Cluster 2"
"P50991","CCT4","Cluster 2"
"P50995","ANXA11","Cluster 1"
"P51003","PAPOLA","Cluster 2"
"P51116","FXR2","Cluster 4"
"P51149","RAB7A","Cluster 4"
"P51151","RAB9A","Cluster 3"
"P51153","RAB13","Cluster 3"
"P51157","RAB28","Cluster 1"
"P51159","RAB27A","Cluster 4"
"P51160","PDE6C","Cluster 3"
"P51397","DAP","Cluster 1"
"P51398","DAP3","Cluster 4"
"P51452","DUSP3","Cluster 1"
"P51511","MMP15","Cluster 3"
"P51513","NOVA1","Cluster 3"
"P51530","DNA2","Cluster 3"
"P51531","SMARCA2","Cluster 3"
"P51532","SMARCA4","Cluster 4"
"P51553","IDH3G","Cluster 4"
"P51570","GALK1","Cluster 3"
"P51571","SSR4","Cluster 4"
"P51580","TPMT","Cluster 1"
"P51587","BRCA2","Cluster 3"
"P51606","RENBP","Cluster 3"
"P51617","IRAK1","Cluster 2"
"P51636","CAV2","Cluster 3"
"P51654","GPC3","Cluster 3"
"P51659","HSD17B4","Cluster 4"
"P51665","PSMD7","Cluster 2"
"P51687","SUOX","Cluster 5"
"P51688","SGSH","Cluster 3"
"P51689","ARSD","Cluster 3"
"P51690","ARSE","Cluster 3"
"P51692","STAT5B","Cluster 3"
"P51784","USP11","Cluster 3"
"P51788","CLCN2","Cluster 4"
"P51797","CLCN6","Cluster 4"
"P51798","CLCN7","Cluster 4"
"P51805","PLXNA3","Cluster 3"
"P51808","DYNLT3","Cluster 3"
"P51809","VAMP7","Cluster 4"
"P51810","GPR143","Cluster 3"
"P51812","RPS6KA3","Cluster 3"
"P51843","NR0B1","Cluster 3"
"P51857","AKR1D1","Cluster 3"
"P51858","HDGF","Cluster 1"
"P51884","LUM","Cluster 3"
"P51911","CNN1","Cluster 3"
"P51946","CCNH","Cluster 4"
"P51948","MNAT1","Cluster 5"
"P51956","NEK3","Cluster 3"
"P51957","NEK4","Cluster 3"
"P51965","UBE2E1","Cluster 1"
"P51970","NDUFA8","Cluster 5"
"P51991","HNRNPA3","Cluster 5"
"P52209","PGD","Cluster 2"
"P52272","HNRNPM","Cluster 5"
"P52292","KPNA2","Cluster 2"
"P52294","KPNA1","Cluster 2"
"P52298","NCBP2","Cluster 5"
"P52333","JAK3","Cluster 3"
"P52429","DGKE","Cluster 3"
"P52434","POLR2H","Cluster 3"
"P52435","POLR2J","Cluster 5"
"P52564","MAP2K6","Cluster 3"
"P52565","ARHGDIA","Cluster 1"
"P52566","ARHGDIB","Cluster 3"
"P52597","HNRNPF","Cluster 5"
"P52630","STAT2","Cluster 2"
"P52655","GTF2A1","Cluster 1"
"P52657","GTF2A2","Cluster 3"
"P52701","MSH6","Cluster 2"
"P52732","KIF11","Cluster 1"
"P52739","ZNF131","Cluster 5"
"P52746","ZNF142","Cluster 3"
"P52747","ZNF143","Cluster 5"
"P52756","RBM5","Cluster 5"
"P52758","RIDA","Cluster 5"
"P52788","SMS","Cluster 2"
"P52789","HK2","Cluster 2"
"P52790","HK3","Cluster 3"
"P52799","EFNB2","Cluster 3"
"P52803","EFNA5","Cluster 3"
"P52815","MRPL12","Cluster 5"
"P52823","STC1","Cluster 3"
"P52824","DGKQ","Cluster 2"
"P52848","NDST1","Cluster 3"
"P52888","THOP1","Cluster 2"
"P52895","AKR1C2","Cluster 3"
"P52907","CAPZA1","Cluster 1"
"P52926","HMGA2","Cluster 3"
"P52943","CRIP2","Cluster 3"
"P53004","BLVRA","Cluster 3"
"P53007","SLC25A1","Cluster 4"
"P53041","PPP5C","Cluster 2"
"P53350","PLK1","Cluster 3"
"P53365","ARFIP2","Cluster 4"
"P53367","ARFIP1","Cluster 3"
"P53370","NUDT6","Cluster 5"
"P53384","NUBP1","Cluster 1"
"P53396","ACLY","Cluster 2"
"P53567","CEBPG","Cluster 5"
"P53582","METAP1","Cluster 1"
"P53597","SUCLG1","Cluster 5"
"P53602","MVD","Cluster 2"
"P53609","PGGT1B","Cluster 2"
"P53611","RABGGTB","Cluster 2"
"P53618","COPB1","Cluster 2"
"P53621","COPA","Cluster 2"
"P53634","CTSC","Cluster 3"
"P53671","LIMK2","Cluster 3"
"P53677","AP3M2","Cluster 3"
